Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Training Stress Score®,Potenza media,Potenza max,Grit,Flow,Swolf medio,Frequenza media vogate,Ripetizioni totali,Tempo di immersione,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Frequenza respiratoria media,Frequenza respiratoria minima,Frequenza respiratoria massima,Variazione stress,Stress iniziale,Stress finale,Stress medio,Stress max,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2023-07-21 17:32:02,false,"Olgiate Olona Corsa","5,36","402","00:37:09","150","164","3,2","167","177","6:56","6:13","11","6","0,86","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:51.83","6","0,0","","","","","","","","","00:37:07","00:37:09","221","239"
Corsa,2023-07-18 18:45:43,false,"Olgiate Olona Corsa","1,21","89","00:08:50,0","136","153","2,0","150","173","7:17","6:00","","22","0,92","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:47.15","2","0,0","","","","","","","","","00:08:32","00:08:50,0","224","249"
Corsa,2023-07-16 16:38:51,false,"Olgiate Olona Corsa","5,52","437","00:36:34","165","179","3,6","165","179","6:38","5:49","37","39","0,92","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:55.18","6","0,0","","","","","","","","","00:36:34","00:36:34","214","240"
Corsa,2023-07-15 19:49:39,false,"Olgiate Olona Corsa","2,31","167","00:14:08","150","171","2,8","170","189","6:06","4:46","","5","0,96","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:55.62","3","0,0","","","","","","","","","00:14:04","00:14:19","229","261"
Corsa,2023-07-11 18:35:00,false,"Olgiate Olona Corsa","5,13","385","00:35:23","155","178","3,1","164","198","6:54","4:09","15","12","0,88","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:12.42","6","0,0","","","","","","","","","00:35:22","00:35:23","221","239"
Corsa,2023-07-10 06:17:45,false,"Olgiate Olona Corsa","5,03","375","00:35:55","143","155","3,1","161","175","7:08","6:23","10","10","0,87","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:21.66","6","0,0","","","","","","","","","00:35:38","00:35:55","221","239"
Corsa,2023-07-07 12:42:52,false,"Olgiate Olona Corsa","4,66","366","00:36:28","149","167","2,8","161","170","7:49","7:16","35","35","0,80","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","05:08.27","5","0,0","","","","","","","","","00:36:27","00:36:28","221","233"
Corsa,2023-07-06 12:42:50,false,"Olgiate Olona - 15' risc + 8x60'' (@175-185 bpm)","5,64","415","00:34:33","158","175","3,7","169","189","6:08","4:30","29","29","0,96","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:45.00","20","0,0","","","","","","","","","00:34:32","00:34:33","221","233"
Corsa,2023-07-05 18:25:51,false,"Olgiate Olona Corsa","3,55","260","00:25:06","141","155","2,8","164","177","7:04","5:58","2","3","0,86","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:45.96","4","0,0","","","","","","","","","00:24:55","00:25:06","221","233"
Corsa,2023-07-04 09:51:02,false,"Olgiate Olona Corsa","3,46","258","00:22:12","154","166","3,1","172","181","6:25","5:19","9","10","0,91","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:54.46","4","0,0","","","","","","","","","00:22:10","00:22:12","221","233"
